"","date","과속","중앙선 침범","신호위반","안전거리 미확보","안전운전 의무 불이행"
"1","2017-01-01","4",28,45,53,228
"2","2017-01-02","1",13,53,65,288
"3","2017-01-03","1",24,65,51,332
"4","2017-01-04","3",22,53,57,311
"5","2017-01-05","2",24,62,52,311
"6","2017-01-06","2",28,80,46,307
"7","2017-01-07","1",27,67,60,309
"8","2017-01-08","5",20,62,29,237
"9","2017-01-09",NA,22,50,42,261
"10","2017-01-10","5",26,64,44,297
"11","2017-01-11",NA,23,71,55,319
"12","2017-01-12","2",32,72,55,292
"13","2017-01-13","1",34,77,71,321
"14","2017-01-14","3",31,70,46,334
"15","2017-01-15","1",29,61,31,272
"16","2017-01-16","3",22,83,71,388
"17","2017-01-17",NA,36,73,52,314
"18","2017-01-18","4",37,75,60,343
"19","2017-01-19","1",28,60,51,332
"20","2017-01-20","2",31,63,38,352
"21","2017-01-21",NA,31,64,53,301
"22","2017-01-22","1",32,59,40,260
"23","2017-01-23","2",30,66,85,388
"24","2017-01-24","4",40,92,86,398
"25","2017-01-25","1",36,69,96,448
"26","2017-01-26","1",40,75,82,460
"27","2017-01-27",NA,24,43,37,274
"28","2017-01-28",NA,19,37,37,194
"29","2017-01-29","3",23,65,25,194
"30","2017-01-30","1",26,40,30,210
"31","2017-01-31","1",24,65,42,243
"32","2017-02-01","3",19,61,48,245
"33","2017-02-02","2",35,47,48,261
"34","2017-02-03",NA,18,71,54,305
"35","2017-02-04","5",24,72,45,274
"36","2017-02-05","3",27,58,32,209
"37","2017-02-06","1",16,64,46,282
"38","2017-02-07","1",14,63,39,268
"39","2017-02-08","2",36,60,57,275
"40","2017-02-09","1",20,68,56,289
"41","2017-02-10","1",21,72,55,333
"42","2017-02-11","5",28,59,59,325
"43","2017-02-12","4",19,55,37,236
"44","2017-02-13","1",27,61,50,294
"45","2017-02-14","2",30,73,58,325
"46","2017-02-15","2",18,56,44,321
"47","2017-02-16","3",26,60,56,327
"48","2017-02-17","3",31,74,56,344
"49","2017-02-18","2",29,57,41,331
"50","2017-02-19","6",21,63,30,245
"51","2017-02-20","2",25,58,55,283
"52","2017-02-21",NA,16,54,38,278
"53","2017-02-22","1",31,85,58,315
"54","2017-02-23","2",22,75,49,297
"55","2017-02-24","1",25,75,51,320
"56","2017-02-25","2",19,68,52,331
"57","2017-02-26","2",22,54,41,264
"58","2017-02-27","2",26,69,52,320
"59","2017-02-28","3",25,66,76,294
"60","2017-03-01","3",38,78,46,261
"61","2017-03-02","1",26,71,43,275
"62","2017-03-03","2",26,76,53,319
"63","2017-03-04","3",19,66,53,310
"64","2017-03-05","2",20,56,51,236
"65","2017-03-06","4",25,66,44,317
"66","2017-03-07","1",30,57,62,299
"67","2017-03-08","5",14,58,52,280
"68","2017-03-09","2",30,62,46,304
"69","2017-03-10","2",38,60,44,344
"70","2017-03-11","5",28,68,59,323
"71","2017-03-12","2",26,49,31,257
"72","2017-03-13","2",23,71,44,286
"73","2017-03-14","4",21,52,54,304
"74","2017-03-15","3",36,73,53,324
"75","2017-03-16","7",27,63,52,294
"76","2017-03-17","2",24,75,51,326
"77","2017-03-18","2",25,58,71,334
"78","2017-03-19","2",22,54,45,265
"79","2017-03-20","1",25,64,58,304
"80","2017-03-21","5",34,75,47,293
"81","2017-03-22","1",26,61,55,311
"82","2017-03-23","2",28,83,51,311
"83","2017-03-24","3",25,75,63,359
"84","2017-03-25","7",35,87,60,293
"85","2017-03-26","3",24,48,42,247
"86","2017-03-27","3",16,60,59,279
"87","2017-03-28","3",33,53,41,302
"88","2017-03-29",NA,20,52,56,311
"89","2017-03-30",NA,23,66,55,330
"90","2017-03-31","3",24,74,72,365
"91","2017-04-01","5",32,69,48,315
"92","2017-04-02","1",22,49,45,262
"93","2017-04-03","1",23,54,49,335
"94","2017-04-04","3",22,54,42,288
"95","2017-04-05","4",46,95,76,338
"96","2017-04-06","4",30,59,56,353
"97","2017-04-07","3",21,71,66,337
"98","2017-04-08","2",33,60,55,376
"99","2017-04-09","4",30,49,54,255
"100","2017-04-10","1",15,61,54,353
"101","2017-04-11","2",22,78,57,355
"102","2017-04-12","1",25,67,71,339
"103","2017-04-13",NA,25,54,57,316
"104","2017-04-14","3",33,69,50,303
"105","2017-04-15","1",21,72,48,357
"106","2017-04-16","4",28,58,37,313
"107","2017-04-17","4",42,54,54,337
"108","2017-04-18","3",34,76,59,315
"109","2017-04-19","3",34,76,67,353
"110","2017-04-20","1",20,57,54,312
"111","2017-04-21","2",30,81,60,337
"112","2017-04-22","3",34,68,60,357
"113","2017-04-23","3",20,54,44,326
"114","2017-04-24",NA,29,54,43,354
"115","2017-04-25","2",26,59,56,297
"116","2017-04-26","3",28,69,69,358
"117","2017-04-27","1",27,74,66,342
"118","2017-04-28","3",24,68,64,382
"119","2017-04-29","1",31,70,62,395
"120","2017-04-30","5",28,52,40,290
"121","2017-05-01","5",26,61,47,343
"122","2017-05-02",NA,23,51,61,355
"123","2017-05-03","3",30,48,53,309
"124","2017-05-04","3",29,87,62,327
"125","2017-05-05","1",34,61,49,310
"126","2017-05-06","4",35,64,47,316
"127","2017-05-07","1",23,51,35,265
"128","2017-05-08","1",26,58,57,349
"129","2017-05-09","3",21,62,48,321
"130","2017-05-10","2",19,59,49,288
"131","2017-05-11","2",31,75,48,330
"132","2017-05-12","4",16,86,63,329
"133","2017-05-13","1",30,82,52,341
"134","2017-05-14","3",27,56,35,287
"135","2017-05-15","1",22,70,67,359
"136","2017-05-16","2",30,74,33,347
"137","2017-05-17","2",30,55,53,339
"138","2017-05-18","4",21,66,65,360
"139","2017-05-19","3",32,64,73,407
"140","2017-05-20","6",25,64,73,367
"141","2017-05-21","5",28,74,37,290
"142","2017-05-22","3",30,60,58,369
"143","2017-05-23","3",35,67,67,331
"144","2017-05-24","4",31,62,69,330
"145","2017-05-25","9",27,60,43,361
"146","2017-05-26","2",29,76,59,417
"147","2017-05-27","3",29,60,65,412
"148","2017-05-28",NA,23,69,40,290
"149","2017-05-29",NA,26,60,52,349
"150","2017-05-30","3",23,56,50,329
"151","2017-05-31","3",28,69,50,325
"152","2017-06-01","1",27,66,78,303
"153","2017-06-02","2",23,63,66,361
"154","2017-06-03","1",36,69,76,362
"155","2017-06-04","4",34,79,44,259
"156","2017-06-05","4",27,75,61,350
"157","2017-06-06","3",25,68,40,329
"158","2017-06-07","2",23,64,48,319
"159","2017-06-08","3",23,58,59,333
"160","2017-06-09","2",27,67,60,330
"161","2017-06-10","4",29,59,60,355
"162","2017-06-11","3",29,66,31,293
"163","2017-06-12","3",24,56,53,332
"164","2017-06-13","1",32,59,59,341
"165","2017-06-14","4",29,77,62,336
"166","2017-06-15","3",22,62,66,372
"167","2017-06-16","4",31,66,55,365
"168","2017-06-17","3",37,74,71,353
"169","2017-06-18","3",27,59,50,275
"170","2017-06-19","2",26,64,49,374
"171","2017-06-20",NA,24,63,51,369
"172","2017-06-21","1",23,63,48,313
"173","2017-06-22","1",27,59,53,381
"174","2017-06-23",NA,28,72,71,395
"175","2017-06-24","5",21,62,54,357
"176","2017-06-25","3",23,47,39,247
"177","2017-06-26",NA,25,58,58,351
"178","2017-06-27","3",27,79,49,337
"179","2017-06-28","1",23,63,63,321
"180","2017-06-29","3",23,59,57,321
"181","2017-06-30","2",37,77,68,366
"182","2017-07-01",NA,32,58,62,344
"183","2017-07-02","3",28,58,45,281
"184","2017-07-03","1",29,64,53,345
"185","2017-07-04","3",26,51,57,334
"186","2017-07-05","1",28,73,66,324
"187","2017-07-06","2",28,54,54,314
"188","2017-07-07","1",35,66,60,347
"189","2017-07-08","3",27,79,57,336
"190","2017-07-09","4",20,51,43,252
"191","2017-07-10","2",25,60,54,333
"192","2017-07-11","1",19,48,60,359
"193","2017-07-12","4",34,65,54,364
"194","2017-07-13","2",33,69,57,322
"195","2017-07-14","3",27,60,62,324
"196","2017-07-15","3",37,64,49,343
"197","2017-07-16","8",30,58,47,275
"198","2017-07-17","3",26,61,58,345
"199","2017-07-18",NA,21,56,48,322
"200","2017-07-19","1",32,76,46,334
"201","2017-07-20","1",31,77,54,332
"202","2017-07-21","1",28,66,71,353
"203","2017-07-22","4",36,68,76,333
"204","2017-07-23","2",28,52,43,258
"205","2017-07-24","4",22,59,50,324
"206","2017-07-25","2",25,78,53,357
"207","2017-07-26","4",27,70,62,377
"208","2017-07-27","1",34,65,63,342
"209","2017-07-28","5",29,76,66,347
"210","2017-07-29","5",32,67,55,342
"211","2017-07-30",NA,25,53,28,259
"212","2017-07-31","4",33,66,60,316
"213","2017-08-01","3",23,65,63,307
"214","2017-08-02","2",29,58,42,300
"215","2017-08-03","2",25,80,62,342
"216","2017-08-04","2",30,64,57,374
"217","2017-08-05","4",37,58,67,348
"218","2017-08-06","2",19,58,39,257
"219","2017-08-07","3",19,60,57,359
"220","2017-08-08","1",20,66,53,313
"221","2017-08-09","1",22,72,61,368
"222","2017-08-10","1",40,69,74,377
"223","2017-08-11","3",40,76,74,396
"224","2017-08-12","1",31,79,34,323
"225","2017-08-13",NA,30,54,44,259
"226","2017-08-14","5",36,84,69,376
"227","2017-08-15","2",19,66,37,301
"228","2017-08-16","1",29,57,65,314
"229","2017-08-17","3",22,63,67,341
"230","2017-08-18",NA,28,69,58,337
"231","2017-08-19","1",26,66,46,330
"232","2017-08-20","4",25,60,52,291
"233","2017-08-21","1",36,73,74,365
"234","2017-08-22",NA,17,61,67,350
"235","2017-08-23","4",27,87,66,335
"236","2017-08-24","3",26,72,65,351
"237","2017-08-25","2",30,77,73,375
"238","2017-08-26","3",35,61,66,396
"239","2017-08-27","1",28,57,38,277
"240","2017-08-28","1",27,62,66,345
"241","2017-08-29","2",22,78,64,348
"242","2017-08-30",NA,27,61,56,331
"243","2017-08-31","1",20,75,61,367
"244","2017-09-01","4",36,100,69,416
"245","2017-09-02","3",37,78,52,392
"246","2017-09-03","1",23,64,54,270
"247","2017-09-04",NA,14,70,49,336
"248","2017-09-05","4",35,58,51,324
"249","2017-09-06","1",28,77,62,349
"250","2017-09-07","5",40,72,62,309
"251","2017-09-08","2",30,68,76,404
"252","2017-09-09","4",37,71,58,371
"253","2017-09-10","3",27,69,42,317
"254","2017-09-11","7",29,76,61,351
"255","2017-09-12","5",21,78,49,308
"256","2017-09-13","2",26,75,56,385
"257","2017-09-14","4",30,89,68,412
"258","2017-09-15","3",34,69,65,404
"259","2017-09-16","6",40,65,56,373
"260","2017-09-17","2",45,56,39,312
"261","2017-09-18","5",35,75,65,407
"262","2017-09-19","2",29,48,45,359
"263","2017-09-20","1",33,77,74,435
"264","2017-09-21","3",24,77,53,400
"265","2017-09-22","1",34,72,65,432
"266","2017-09-23","3",31,77,50,433
"267","2017-09-24","1",26,61,44,319
"268","2017-09-25","2",24,76,55,390
"269","2017-09-26","2",38,87,56,385
"270","2017-09-27",NA,35,81,83,405
"271","2017-09-28","3",30,89,58,434
"272","2017-09-29","3",46,96,74,477
"273","2017-09-30","4",27,74,51,383
"274","2017-10-01","2",42,79,52,323
"275","2017-10-02","5",35,77,46,402
"276","2017-10-03","2",22,45,34,248
"277","2017-10-04","2",20,43,37,221
"278","2017-10-05","1",21,40,23,247
"279","2017-10-06","1",21,52,37,266
"280","2017-10-07","1",26,51,50,283
"281","2017-10-08","1",23,57,36,228
"282","2017-10-09","1",24,57,33,240
"283","2017-10-10","2",27,73,42,339
"284","2017-10-11","2",27,65,48,350
"285","2017-10-12","2",34,70,52,348
"286","2017-10-13","1",30,84,68,388
"287","2017-10-14","2",28,85,56,373
"288","2017-10-15","3",19,65,44,288
"289","2017-10-16","3",19,62,56,343
"290","2017-10-17","4",24,69,56,355
"291","2017-10-18","3",30,63,60,334
"292","2017-10-19","3",35,60,62,398
"293","2017-10-20","3",30,76,80,458
"294","2017-10-21","3",33,78,87,427
"295","2017-10-22","2",38,65,48,334
"296","2017-10-23","3",27,71,66,388
"297","2017-10-24","2",30,82,67,395
"298","2017-10-25","3",23,86,78,421
"299","2017-10-26","1",33,57,57,373
"300","2017-10-27","2",38,87,81,430
"301","2017-10-28","2",38,78,87,444
"302","2017-10-29","3",30,75,44,300
"303","2017-10-30",NA,41,102,64,393
"304","2017-10-31","3",34,76,59,402
"305","2017-11-01","2",42,66,57,416
"306","2017-11-02","2",30,53,57,331
"307","2017-11-03","3",32,78,78,439
"308","2017-11-04","3",28,65,64,376
"309","2017-11-05","4",29,56,34,284
"310","2017-11-06","2",28,67,63,355
"311","2017-11-07","4",31,74,57,350
"312","2017-11-08","2",43,72,56,380
"313","2017-11-09","4",35,76,70,372
"314","2017-11-10","3",27,73,76,409
"315","2017-11-11","4",44,79,72,381
"316","2017-11-12","2",32,57,37,337
"317","2017-11-13","1",25,83,36,357
"318","2017-11-14","5",29,63,56,375
"319","2017-11-15","2",28,84,62,373
"320","2017-11-16","2",28,65,59,350
"321","2017-11-17","3",42,85,70,381
"322","2017-11-18","1",26,91,77,373
"323","2017-11-19","2",25,60,44,294
"324","2017-11-20","4",30,83,65,369
"325","2017-11-21","1",40,72,69,347
"326","2017-11-22","2",32,83,67,397
"327","2017-11-23","1",33,82,57,343
"328","2017-11-24","2",38,78,80,442
"329","2017-11-25","2",30,83,62,395
"330","2017-11-26",NA,22,52,45,283
"331","2017-11-27","1",23,75,54,323
"332","2017-11-28",NA,20,63,56,302
"333","2017-11-29","2",32,66,45,324
"334","2017-11-30","1",36,75,63,352
"335","2017-12-01",NA,31,75,81,403
"336","2017-12-02","1",26,77,64,353
"337","2017-12-03","2",16,55,34,276
"338","2017-12-04","3",30,70,47,354
"339","2017-12-05","1",26,57,54,323
"340","2017-12-06","2",32,79,74,420
"341","2017-12-07",NA,24,68,58,363
"342","2017-12-08","1",26,85,62,388
"343","2017-12-09","2",34,81,67,352
"344","2017-12-10","1",25,55,34,283
"345","2017-12-11","2",27,64,54,269
"346","2017-12-12","1",21,73,35,327
"347","2017-12-13",NA,18,71,57,322
"348","2017-12-14","2",32,65,53,321
"349","2017-12-15","2",20,71,51,383
"350","2017-12-16","4",29,72,63,364
"351","2017-12-17","2",22,58,39,278
"352","2017-12-18","3",31,61,45,328
"353","2017-12-19",NA,19,63,53,323
"354","2017-12-20",NA,28,78,56,366
"355","2017-12-21","1",29,71,53,390
"356","2017-12-22","2",40,79,68,423
"357","2017-12-23","1",32,70,69,396
"358","2017-12-24","1",31,51,37,272
"359","2017-12-25","2",16,60,38,223
"360","2017-12-26",NA,27,62,54,326
"361","2017-12-27","1",25,79,48,301
"362","2017-12-28","3",27,60,28,289
"363","2017-12-29","3",38,84,59,366
"364","2017-12-30","3",33,56,42,277
"365","2017-12-31","3",22,57,46,257
"366","2018-01-01","3",15,54,36,243
"367","2018-01-02",NA,15,55,38,262
"368","2018-01-03","2",27,62,47,253
"369","2018-01-04","4",16,61,45,256
"370","2018-01-05","3",24,60,50,306
"371","2018-01-06","3",19,54,55,287
"372","2018-01-07","5",14,46,24,207
"373","2018-01-08","1",28,70,52,335
"374","2018-01-09","3",30,71,72,352
"375","2018-01-10","4",42,70,70,439
"376","2018-01-11","2",33,70,80,345
"377","2018-01-12","3",22,81,79,401
"378","2018-01-13","2",27,52,54,331
"379","2018-01-14","1",26,72,37,247
"380","2018-01-15","1",33,77,76,317
"381","2018-01-16","3",23,82,47,302
"382","2018-01-17","2",27,83,70,349
"383","2018-01-18","1",28,58,45,304
"384","2018-01-19","5",26,75,64,322
"385","2018-01-20","5",30,73,59,301
"386","2018-01-21","3",19,46,39,201
"387","2018-01-22","4",29,66,54,325
"388","2018-01-23","1",27,74,59,310
"389","2018-01-24","3",20,62,42,306
"390","2018-01-25","2",18,60,52,298
"391","2018-01-26","4",23,74,48,352
"392","2018-01-27","4",29,66,56,282
"393","2018-01-28","4",22,51,31,215
"394","2018-01-29",NA,16,51,40,299
"395","2018-01-30","4",28,70,50,369
"396","2018-01-31","2",24,56,54,359
"397","2018-02-01","2",30,87,57,365
"398","2018-02-02","3",27,82,59,357
"399","2018-02-03","4",38,83,78,419
"400","2018-02-04","6",26,72,56,289
"401","2018-02-05",NA,25,74,56,331
"402","2018-02-06","2",18,78,59,373
"403","2018-02-07","1",29,77,83,375
"404","2018-02-08","2",41,85,80,406
"405","2018-02-09","2",37,88,85,414
"406","2018-02-10","2",26,64,48,325
"407","2018-02-11","4",20,43,28,293
"408","2018-02-12","2",45,81,94,404
"409","2018-02-13","2",30,98,89,447
"410","2018-02-14","1",28,76,67,433
"411","2018-02-15","2",29,53,33,264
"412","2018-02-16","5",22,41,39,184
"413","2018-02-17","2",27,47,32,205
"414","2018-02-18","2",13,42,28,190
"415","2018-02-19","1",21,54,34,290
"416","2018-02-20","2",27,55,60,253
"417","2018-02-21","2",25,57,40,268
"418","2018-02-22","3",34,74,51,310
"419","2018-02-23","1",38,66,61,358
"420","2018-02-24",NA,25,48,43,308
"421","2018-02-25","3",22,54,31,210
"422","2018-02-26","3",16,73,52,309
"423","2018-02-27","1",21,65,56,313
"424","2018-02-28","3",38,87,58,423
"425","2018-03-01","1",19,57,46,268
"426","2018-03-02","1",14,62,64,346
"427","2018-03-03","5",22,57,49,263
"428","2018-03-04","3",23,76,38,231
"429","2018-03-05","2",15,68,58,278
"430","2018-03-06","3",28,55,52,263
"431","2018-03-07",NA,29,51,32,332
"432","2018-03-08","1",20,73,43,287
"433","2018-03-09","1",21,58,48,306
"434","2018-03-10","2",20,62,50,327
"435","2018-03-11","5",26,48,35,231
"436","2018-03-12","1",22,55,55,303
"437","2018-03-13",NA,26,66,46,306
"438","2018-03-14","1",29,59,55,348
"439","2018-03-15","9",25,72,46,358
"440","2018-03-16","3",34,65,53,369
"441","2018-03-17","5",25,70,65,328
"442","2018-03-18","3",20,57,49,251
"443","2018-03-19","2",25,64,66,281
"444","2018-03-20","2",21,63,43,327
"445","2018-03-21",NA,25,72,51,318
"446","2018-03-22",NA,26,70,63,318
"447","2018-03-23","4",20,65,57,323
"448","2018-03-24","7",16,64,52,299
"449","2018-03-25","3",20,45,43,257
"450","2018-03-26","3",32,51,56,341
"451","2018-03-27",NA,22,51,53,302
"452","2018-03-28","1",30,62,61,328
"453","2018-03-29","3",25,73,56,366
"454","2018-03-30","5",40,73,51,341
"455","2018-03-31","4",24,66,50,354
"456","2018-04-01","3",16,46,36,269
"457","2018-04-02","4",35,63,46,340
"458","2018-04-03","1",29,76,64,328
"459","2018-04-04","1",28,67,48,348
"460","2018-04-05","4",31,78,61,385
"461","2018-04-06","3",25,70,44,365
"462","2018-04-07","2",31,73,73,365
"463","2018-04-08","2",28,52,43,286
"464","2018-04-09","2",25,61,67,345
"465","2018-04-10","1",26,90,60,347
"466","2018-04-11","2",25,62,55,349
"467","2018-04-12","3",17,68,54,369
"468","2018-04-13","2",20,76,61,375
"469","2018-04-14","4",29,71,49,323
"470","2018-04-15","2",24,48,37,291
"471","2018-04-16","1",23,57,58,338
"472","2018-04-17","7",21,66,54,314
"473","2018-04-18","3",25,48,73,333
"474","2018-04-19","1",25,54,52,344
"475","2018-04-20","4",24,74,60,383
"476","2018-04-21","5",28,70,62,397
"477","2018-04-22","2",21,58,42,282
"478","2018-04-23","3",32,86,48,353
"479","2018-04-24","3",39,82,44,336
"480","2018-04-25","4",17,63,61,330
"481","2018-04-26","5",16,56,56,323
"482","2018-04-27","1",22,52,63,375
"483","2018-04-28","1",29,53,65,404
"484","2018-04-29","3",26,57,38,312
"485","2018-04-30","5",24,61,51,375
"486","2018-05-01","4",22,61,49,280
"487","2018-05-02","2",35,73,77,303
"488","2018-05-03","1",31,75,57,361
"489","2018-05-04","2",39,77,50,383
"490","2018-05-05","2",43,63,58,352
"491","2018-05-06","5",26,51,37,241
"492","2018-05-07","4",25,53,48,324
"493","2018-05-08",NA,20,77,62,318
"494","2018-05-09","1",24,66,55,334
"495","2018-05-10","1",17,63,61,349
"496","2018-05-11","2",18,94,56,336
"497","2018-05-12","5",31,80,62,379
"498","2018-05-13","5",18,58,48,285
"499","2018-05-14","1",21,51,46,334
"500","2018-05-15","3",20,57,43,343
"501","2018-05-16","1",25,52,47,286
"502","2018-05-17","1",25,79,56,361
"503","2018-05-18","2",26,73,60,391
"504","2018-05-19","1",35,69,66,413
"505","2018-05-20","3",22,56,59,268
"506","2018-05-21","5",33,62,56,331
"507","2018-05-22","1",27,56,54,365
"508","2018-05-23","1",31,58,60,368
"509","2018-05-24","1",18,76,46,332
"510","2018-05-25","5",30,69,66,355
"511","2018-05-26","4",21,69,60,393
"512","2018-05-27","2",19,61,34,248
"513","2018-05-28","3",33,58,63,339
"514","2018-05-29","3",26,77,60,331
"515","2018-05-30","3",33,76,52,355
"516","2018-05-31","2",28,71,80,391
"517","2018-06-01","3",29,82,64,399
"518","2018-06-02","6",31,88,55,388
"519","2018-06-03","1",24,62,41,289
"520","2018-06-04","1",29,71,53,354
"521","2018-06-05","3",32,70,57,385
"522","2018-06-06",NA,22,72,53,310
"523","2018-06-07","2",24,58,60,338
"524","2018-06-08","1",25,78,61,360
"525","2018-06-09","1",26,91,61,334
"526","2018-06-10","7",28,56,44,257
"527","2018-06-11","1",29,68,60,337
"528","2018-06-12","2",25,73,55,350
"529","2018-06-13","4",26,63,45,303
"530","2018-06-14","2",25,63,45,378
"531","2018-06-15","3",35,56,65,369
"532","2018-06-16","2",29,60,57,351
"533","2018-06-17","1",29,62,31,253
"534","2018-06-18","1",34,69,61,368
"535","2018-06-19","3",19,47,61,335
"536","2018-06-20",NA,25,68,43,330
"537","2018-06-21","1",19,59,59,363
"538","2018-06-22","1",32,74,79,406
"539","2018-06-23","5",26,73,47,331
"540","2018-06-24",NA,22,53,38,257
"541","2018-06-25","2",26,76,68,396
"542","2018-06-26","4",28,72,58,348
"543","2018-06-27","3",29,54,49,305
"544","2018-06-28","4",21,68,64,327
"545","2018-06-29","1",29,65,53,371
"546","2018-06-30","4",22,50,52,310
"547","2018-07-01","3",29,48,47,284
"548","2018-07-02","2",33,80,68,363
"549","2018-07-03","1",26,57,47,346
